"commentsCount","text","date","likesCount"
,"Thank you so much Joe for keeping America flag fly high 🇺🇸","2024-01-14T22:50:24.000Z","12"
"11","We definitely have the most caring and prosperous president in history of USA 🇺🇸","2024-01-14T18:01:08.000Z","44"
,"You are too good Mr president","2024-01-16T11:38:48.000Z","1"
"4","God bless the United States of America","2024-01-15T02:07:33.000Z","5"
"12","Sending love from South Sudan 🇸🇸🇸🇸. Africa admires your leadership skills","2024-01-14T17:01:03.000Z","40"
"7","Wicked Administration and Manipulation against Humanity","2024-01-14T17:16:24.000Z","60"
"1","Great work Mr honest and true President .","2024-01-15T03:35:58.000Z","5"
"6","Best President in history of 🇺🇸","2024-01-14T18:02:08.000Z","23"
"6","I am in Germany and sign with the US military that I want to work for them in Germany and everywhere","2024-01-14T20:32:04.000Z","9"
"23","VOTE BLUE 💙💙💙🇺🇸🇺🇸🇺🇸","2024-01-14T17:10:25.000Z","59"
,"Explain with simple clear lists.   No wonkiness - not just ""economy"" (boring to most people).   Simple, specific - health care improvements,  help for students, foreign connections,  etc.  Democrats have a problem in labeling their accomplishments - too wonky... speak plainly and clearly.  (if we want more details - we can look them up - research).  Just a hint. ......   Speak - clearly and plainly - normal words.","2024-01-15T17:42:27.000Z","1"
"9","In actions and dedication we believe in you Mr President Joe Biden,stay health and make a America reach the tip of the ladder in anything.","2024-01-14T17:02:14.000Z","30"
"6","This man’s done more for Ukraine in one year than he has for America in all 50 years of office.","2024-01-14T22:04:39.000Z","10"
"201","I’ve noticed eating at a restaurant, groceries, gas, and insurance has skyrocketed since you took office","2024-01-14T17:43:28.000Z","240"
"43","Best president","2024-01-14T17:01:25.000Z","115"
"7","Nothing but bots and NPC’s in the comment section….mostly all out of the states.","2024-01-15T11:50:11.000Z","24"
"10","A lot of government bots on this page😐😐","2024-01-14T17:47:19.000Z","37"
"3","Will America be able to break the strong hold of Russia and China and return democracy to Bangladesh? Because Sheikh Hasina does not care about Westerners. Bangladesh's democracy has now become a challenge for the West. If they can't do that, then China and Russia will rise in importance all over the world. Sheikh Hasina is challenging the West. He will not relinquish power.","2024-01-14T17:38:53.000Z","6"
"6","I saw so many pple lost their jobs and still not find a job??","2024-01-14T17:02:26.000Z","20"
"1","People have boycotted Bangladesh elections now people are looking at you, if you don't do something people will lose the trust they have in you hope you do something those who participated in this election against boats also boycotted.","2024-01-14T20:27:43.000Z","5"
"3","Dear sir, today my people of Bangladesh are in a lot of trouble, please have some mercy for my country","2024-01-14T17:19:58.000Z","5"
"1","ليس للمحتل حق الدفاع عن النفس هو حق أصيل فقط لأصحاب الارض انشروها في كل مكان
the occupier does not have the right to self-defense. It is an inherent right only to the owners of the land. Spread it everywhere","2024-01-14T17:09:06.000Z","5"
,"Well am nt from that side but have heard so many good things about him","2024-01-15T00:09:51.000Z","2"
"4","Awesome job President Biden!!!! Thank you for making America 🇺🇸 great again!!!","2024-01-14T20:42:58.000Z","12"
"1","The people of Bangladesh want to see elections under a neutral government","2024-01-14T20:27:36.000Z","4"
,"Thank you President Biden for the Good that you do for the people. Especially for the less fortunate ones.”We need Presidents like you in the White House “ God Bless you and your Beautiful family.🎆🎆🎆 Biden 2024","2024-01-14T22:34:55.000Z","6"
"3","100 Days of Genocide: The people of Gaza have been living under mass extermination for 100 days.
In a scene that encapsulates a deep and horrific tragedy, the Israeli occupation forces have committed what can only be described as a crime against humanity. 
We have witnessed chapters of terrifying violence, with more than thirty thousand Palestinians were killed, among them over ten thousand children, casualties of barbarity and aggression.
The majority of the victims are innocent civilians, with villages and residential neighborhoods not spared from complete destruction, turning daily life into a terrifying nightmare.
The number of people displaced by this Genocide has exceeded 1.9 million, now without shelter or protection.
Even United Nations schools, which were supposed to be safe havens, have not been spared from the bombardment.
Mosques, hospitals, infrastructure, and shops have become targets of destruction and devastation.
This military machine continues its violations, invading Palestinian homes, plundering people's possessions, their money, and even children's toys. 
The Genocide continues for more than a hundred days, under continuous American support, exacerbating the current situation. 
The Gaza Strip, once described as the world's largest open-air prison, has been transformed into a camp of genocide.
Thanks to the free and honorable voices, South Africa has filed a lawsuit with the International Court to stop this genocide.
The importance of continuing to speak out about Palestine , Don't stop talking aout Palestine.","2024-01-15T09:22:54.000Z","2"
,"Great work.
Best wishes.
Heartiest congratulations.","2024-01-16T02:09:37.000Z","0"
"8","The results are clear, and Republicans voted against all of it.","2024-01-14T17:01:23.000Z","27"
,"Parabéns senhor presidente Joe biden temos que trabalhar juntos com todos empresários esse investimentos e quem tais América crescer a economia parabéns eu só um oficial de justiça de investigação tô afastado alguns tempos todos nós juntos fazemos uma América melhor para todos thenk thenk parabéns","2024-01-14T17:26:36.000Z","1"
"9","Have you been shopping at the grocery store lately? “Lowest inflation rate what”?","2024-01-14T17:01:59.000Z","29"
"4","Looks like the third world is the only ones that love old Joe. Haha","2024-01-14T19:15:21.000Z","17"
,"Good job Mr president keep on going. Age is just a letter young forever","2024-01-14T18:43:25.000Z","11"
"1","Honorable President Biden, your Economic policies are Great, Welcome","2024-01-14T22:04:59.000Z","3"
"3","Interesting how many people praising Joey don't even live in this country.","2024-01-14T18:40:23.000Z","10"
"1","If King was alive today, he would be marching for a Ceasefire to stop the slaughtering of children.                                                                                                                                                           TO THE WORLD… FROM THE DEAD CHILDREN OF PALESTINE
 THANK YOU, for all the marching, protesting, speeches, and tears.  Sadly, this is not enough to prevent more of us from dying.  Leaders of the world excluding the United States have come against this genocide of the slaughtering of little children.   Yet your words are silent, just like the United States government is as far as stopping these horrible killings.  There is a time for words and a time for action. 
 Unfortunately, just like the march of Reverend Dr. Martin Luther King.  Black people tried for years to get equal rights, but instead, Martin Luther King got a bullet.  However, after they killed the peacemaker, Stokley Carmichael said “Burn baby Burn” and only then did Black people achieve their rights!  The killing of poor innocent children will not stop with only marching and protesting.   We have been marching and protesting for over three months while Israel just laughs at us.  We do not need to riot or set the streets on fire like we had to do in the past.  All we must do around the world is make our government accountable to the wishes of the people.  We must Boycott, and make our corrupt leaders who are bought and owned by Israel AIPAC be removed or forced to Sanction Israel and break all ties with Israel.  This is what the world must do if they are truly upset with the killing of the children.     Gregory St. James Mundy (author of I LOVE GOD)","2024-01-16T01:23:45.000Z","0"
"19","Americans had more money in their bank accounts and in their pockets under the last administration.","2024-01-14T17:13:42.000Z","27"
,"Respect to you dear respected Sir US President Joe Biden 🙏🙏😥😥","2024-01-15T15:14:31.000Z","0"
"1","Stop lying 🤥 
Former President Obama's senior adviser David Axelrod said a recent Wall Street Journal poll showing President Biden's approval rating hitting a new low is “very, very dark” for Biden's reelection campaign.Dec 13, 2023. If you had to vote for a candidate based on their accomplishments. Well, this is the Biden and Harris administration accomplishments.

1. Biden omics = FAILURE 💥
2. The Border = FAILURE 💥
3. Gas Prices = FAILURE 💥
4. Crime = FAILURE 💥
5. Food Prices = FAILURE 💥
6. Bringing the country together = FAILURE 💥
7 Foreign policy, Afghanistan, Venezuela, China. Haiti, Taiwan, Iran, and Mexico = TOTAL FAILURE 💥
8. Talking and walking = FAILURE 💥
9. Telling the American people the truth. FAILURE 💥
10. Education = TOTAL FAILURE 💥

What all of this means is that Democrats are full of 💩. They are using race for everything in an attempt to divide this country. Sexualizing our children at a young age instead of the PRIORITIZING READING & MATH. Our educational system is a disaster since Biden took office. They talk about infrastructure and going green but Biden allocated billions of dollars and not one charging station has been built yet and gas prices are still at a record high. IT'S ALL A SCAM! Biden and his family has enriched themselves. They talk about everybody should pay their fair share in taxes. But Biden and his son has had problems paying their taxes Not to mention Biden being compromised with all that Chinese money that he denied him and his son received from China. America found out that was a total lie! The only card he got left in his playbook is to bribe the American people, especially black Americans. My life was better before Biden came in office. 

TRUMP 2024 🇺🇸","2024-01-16T01:28:08.000Z","1"
"1","Mr Joe Biden is The Best President Ever ❤️❤️","2024-01-14T21:58:46.000Z","4"
,"Barely any investment in America, your to busy sending it overseas to fund wars.","2024-01-14T18:57:02.000Z","9"
,"Utilizing manipulation of Government Programs by those in an a
Administration by false means to target an individual; is discrimination, oppression and cruelty. Also highly illegal by which those involved if working for the government are subject to punishment by law, both Nationally and Internationally.","2024-01-16T13:00:10.000Z","0"
"13","Thank you mr president! Let’s defeat trump the insurrectionist and maga for good!💙🇺🇸💪","2024-01-14T17:05:43.000Z","29"
,"33 % approval, great job Joe :)","2024-01-15T11:40:48.000Z","1"
"1","Best president, joebiden the whole American citizens are voting for you again because you are making America shine lets vote blue for progress ❤️","2024-01-15T09:05:17.000Z","0"
,"I remember when you pointed in their faces and said YOU DON'T WORK FOR THEM.","2024-01-16T15:54:41.000Z","0"
"1","Even if he sacrifices my life, I believe in him unconditionally. We all have our own beliefs. I think Biden is the smartest man in the world. I will definitely support him. May God bless him. Believe me.","2024-01-14T17:59:27.000Z","3"
,"Well done everyone! Shine on Superstars!","2024-01-16T05:27:17.000Z","0"
,"Good luck mr president","2024-01-16T08:09:37.000Z","0"
"1","That's great work Mr of the house of nation..AmA👏👏👏👏 world news not for empty promises...... great work is to plan and do sometime.....more work Mr president.....👏👏👏","2024-01-15T07:59:54.000Z","1"
,"I offer a bit of a wobbly job 😅.
 It is instant online payment","2024-01-15T11:57:24.000Z","2"
,"Please you have to thinking about homeless people.Their life is verry verry hard. You gays lave more animals then people.Move the people from the street to the house.Thats important that's urgent think.How you can have a helthy people if they  slipping on the street.Dangerous and shaim for America.","2024-01-15T16:32:41.000Z","0"
,"the American goverment system operates almost the entire world that means the majority of people in the world rely on them it is also important for the Americans to make sure all people of the world they don't sleep without food then we will then say the administration is working very right","2024-01-15T21:14:36.000Z","0"
"4","Keep up the best work Joe Biden Sir","2024-01-14T17:07:55.000Z","16"
"5","I voted for Joe Biden and will do it again.","2024-01-14T18:18:59.000Z","7"
"6","Really! Joe Lie-Den at it again!!!!","2024-01-14T17:06:01.000Z","19"
"1","Best president","2024-01-15T16:37:43.000Z","3"
,"So you say, but Lahaina is still in shambles (along with a big portion of the country) while you send billions away in foreign aid","2024-01-15T13:45:29.000Z","0"
"3","Nice job Mr president","2024-01-14T18:23:35.000Z","11"
,"Good luck Mr. President","2024-01-16T02:29:02.000Z","1"
,"Those guys have their hands up saying save me!","2024-01-14T19:12:29.000Z","3"
,"كل ذلك العمل والشعب يشتكي 
هنالك حلقة مفقودة من العالم اليوم 
وهو النمو الزراعي بسبب التطور تعاني التدهور والاضمحلال وبالتالي فان المعروض لايلبي الاحتياج العالمي وهنا تكمن المشكلة .","2024-01-14T18:23:07.000Z","1"
,"Way to go Joe !","2024-01-15T02:47:18.000Z","0"
,"Groceries are what they were 3 years ago x3. Why?","2024-01-15T03:21:28.000Z","1"
,"Keep up the good work and best of luck.","2024-01-15T12:38:29.000Z","1"
"2","What does tank technology with its deadly weapons do in the face of Iman Mujahid’s strength in his position for months 🔥✌️","2024-01-14T18:13:10.000Z","0"
"4","Nope not over 14 million jobs. And who cares about other major economies, prices still too high in the USA.","2024-01-14T17:03:06.000Z","15"
"1","Best President Ever 🇺🇸","2024-01-17T09:04:31.000Z","1"
,"bidenomics: when you like paying more for everything and you have to pick up a second or third job to make ends meet...if you are lucky enough to even make ends meet.","2024-01-16T05:32:48.000Z","0"
,"Good Luck Mr President","2024-01-15T01:23:14.000Z","3"
,"Good job Mr president.America is safe with you Mr president.","2024-01-14T21:24:11.000Z","5"
"1","'    mr . joe  can there be an access quie request applyment for  the one on the left","2024-01-16T02:13:47.000Z","1"
"9","MAGA comments leave little doubt as to why red areas are so economically dependent and last in every metric of living standard or life expectancy.","2024-01-14T17:20:07.000Z","24"
,"I say to leaders, if no funding to secure border, then no money for other countries.","2024-01-15T00:26:27.000Z","6"
"1","Best political system ever ❤️🤌","2024-01-15T06:57:20.000Z","2"
,"Le meilleur président j'ai eu raison d'aimer les USA vous êtes l'un de mes idoles presque tous mes références se trouve au USA vous êtes les meilleurs notre Maire faire pareil comme vous dans notre ville donner de l'emploi au population et rendre le pays agréable j'aime bien cela","2024-01-14T19:58:05.000Z","0"
,"Finish the wall joe","2024-01-16T11:29:54.000Z","0"
"1","Wondering what type of work will be given to me. Only have truck licence.","2024-01-17T03:49:33.000Z","1"
,"I love how 90% of those ""praising you"" are bots or from other countries.","2024-01-15T19:08:29.000Z","2"
,"Go joe biden out trump","2024-01-15T01:20:48.000Z","1"
"1","Great to see the positive impact of your investments in America! Over 14 million jobs, record economic growth, and the lowest inflation rate are substantial achievements. Keep up the good work! 📈🇺🇸""","2024-01-14T19:59:54.000Z","5"
,"2023 Major Accomplishments of the Biden-Harris Administration…

TACKLED INFLATION & LOWERED COSTS

Allowed Medicare to negotiate lower drug prices, capped insulin at $35 for seniors, and helped millions save on health insurance. Cracked down on junk fees in event tickets, banking, health care, and apartments - saving Americans billions. Helped over 22 million households save on internet.

TACKLED THE CLIMATE CRISIS

Created 210,000 new clean energy jobs in just over a year. Protected millions of acres of lands and waters. Signed an Executive Order to advance environmental justice. Launched the American Climate Corps. Finalized a rule to cut methane pollution.

INVESTED IN AMERICA & CREATED GOOD JOBS

Announced 33,000 infrastructure projects across America. Invested in roads and bridges, improved airports, high-speed Internet, clean water, and reliable transit and rail. Sustained an economic recovery that created over 2.5 million jobs, including nearly 200,000 construction jobs.

PROTECTED ACCESS TO REPRODUCTIVE HEALTH CARE

Took action to protect access to emergency medical care, abortion, and contraception. Strengthened privacy protections for patients and doctors. Defended in court women's ability to access medication abortion.

MADE AMERICA SAFER FROM GUN VIOLENCE

Created the first-ever White House Office of Gun Violence Prevention in American history. Funded an additional 14,000 school based mental health professionals. Announced new executive actions to keep guns out of dangerous hands and dangerous weapons off our streets.

MADE HIGHER EDUCATION MORE AFFORDABLE

Brought the total student debt cancellation to $132 billion for 3.6 million Americans through various actions. Launched the most affordable repayment plan ever - the SAVE Plan. Helped over 700,000 people access Public Service Loan Forgiveness. Invested $7 billion in HBCUs.

STRENGTHENED DEMOCRACY AT HOME AND ABROAD

Stood up for our allies and partners in Israel, Ukraine, and across the globe - and strengthened our alliances around the world. Spoke out against discrimination, racism, anti-LGBTQI+ hate. Pushed for stronger voting rights.

CONFIRMED HIGHLY QUALIFIED JUDGES

On President Biden's watch, the Senate confirmed 166 life-tenured federal judges. Confirmed a record-breaking number of Black, Hispanic, and AANHPI judges. 

RECORD LEVEL FUND RAISING FOR 2024 CAMPAIGN 

President Biden’s reelection campaign raised over $97 million in the past three months and has $117 million on hand — a record for any Democrat ever at this point in the election cycle, the campaign announced Monday morning. The campaign has raised a whopping $235 million since the campaign launched.

About 97% of all donations were less than $200, with an average donation of $41.88. The Biden campaign also touts a large number of recurring donors. There are 130,000 people who have pledged to give monthly to his reelection effort – that's just about double the number at this time during the 2020 cycle.

Biden/Harris 2024 ✅","2024-01-16T00:11:44.000Z","0"
"1","واكبر مجرم","2024-01-14T17:07:37.000Z","0"
,"Best policy system","2024-01-16T11:27:30.000Z","0"
,"You are a sad 😔 President.","2024-01-16T16:54:19.000Z","0"
,"Thank you for your leadership.","2024-01-16T04:29:59.000Z","0"
,"Lyin dog faced pony soldier","2024-01-15T15:04:23.000Z","0"
,"An honourable man who cares about AMERICAN DEMOCRACY. 
God bless you Mr. President.","2024-01-15T02:35:55.000Z","3"
"3","During his leadership, Trump has adopted a number of policies that are considered by his supporters to have been successful in some respects. He has emphasised tax reform, economic growth and a strong stance in international affairs Being able to deliver on a number of domestic and international agendas","2024-01-14T18:06:20.000Z","6"
,"Congratulations. You found a hand to shake instead of air.","2024-01-16T17:45:06.000Z","0"
"1","Great work Mr president","2024-01-14T21:20:46.000Z","1"
"2","Truth!!  Reality!  Something your opponents don’t understand with their childish lies.","2024-01-14T20:27:09.000Z","6"
"1","Africa food programs","2024-01-15T10:35:19.000Z","0"
,"🇺🇸💕The reason why the Hamas terrorist group preemptively attacked quiet Israel was a ploy by Russia and Iran to increase the approval rating of Russian spy Trump to make him president of the United States and to lower the approval rating of President Joe Biden.

Russia and Iran's method of trying to lower U.S. President Joe Biden's approval rating was to involve the U.S. in a war in the Middle East.

However, smart Americans knew that U.S. President Joe Biden was hesitating to launch a military war because of the next presidential election.
This is a scheme that Russian, Iranian, and Chinese communist spies also started after knowing President Joe Biden's habits.

However, as seen in the Houthis airstrikes, approval ratings rose when President Joe Biden fought against injustice and protected American citizens and soldiers.

This means that if Iran, Russia, or any terrorist group attacks the United States, we must fight without hesitation.
 Doing so is a sign from American citizens that they will support President Joe Biden.

It is a very serious problem that there are no enemy spies who can read the thoughts of American citizens, and the enemy spies did not calculate this point.","2024-01-16T14:31:38.000Z","0"
,"I like personally this numbers and statements. Congratulations!. ISRO - Indian Space Research Organisation🌹.","2024-01-14T18:55:52.000Z","0"
"1","Even if he sacrifices my life, I believe in him unconditionally. We all have our own beliefs. I think Biden is the smartest person in the world. I will definitely support him. May God bless him. Believe me.","2024-01-14T18:49:24.000Z","4"
"1","maia mania wiz nat mai mam maia ma nia ies klon ma mam neli maia mania ies mather maiklon kagebe  maia mania  menejers jorjia maia mania menejers amerika maia mania menejers rosia maia mania menejers evropa pohemu wiz nat mai mam mai klon menejers jorjia mai klon menejers amerika mai klon menejers rosia mai klon menejers evropa pohemu klon leila mextieva menejers jorjia klon leila mextieva menejers amerika klon leila mextieva meners rosia klon leila mextieva menejers evropa pohemu  zura otiashvili no mai frader menejers jorjia zura otiashvili menejers amerika zura otiashvili menejers rosia zura otiashvili menejers evropa pohemu  irakli opsnadze no mai frader menejers jorjia irakli opsnadze menejers amerika irakli opsnadze menejers rosia irakli opsnadze menejers evropa pohemu","2024-01-15T07:28:18.000Z","0"
"1","Good luck Mr President","2024-01-14T20:06:47.000Z","4"
"3","Thank you, @POTUS for all that you do.","2024-01-14T21:43:47.000Z","2"
"4","Our president","2024-01-14T17:03:21.000Z","5"
"2","The President Joe Biden obtain the best economy in the world and that is not something casually,  he fight for people,  he fight for América!","2024-01-14T17:45:51.000Z","6"
"4","He’s trying everyday to make that country a safe place a nice place to live work","2024-01-14T18:02:55.000Z","3"
,"Garbage man 🧍‍♂️","2024-01-14T23:53:50.000Z","0"
"4","Accountability will come  your way","2024-01-14T18:10:18.000Z","9"
,"Hello President Biden and President Obama, YouTube are probably in the top two presidents in the last 40 years. Thank you for your service and commitment to democracy in America.","2024-01-15T18:27:45.000Z","1"
,"America strong💪💪🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸","2024-01-15T11:26:56.000Z","0"
,"What a joke","2024-01-15T21:30:21.000Z","0"
,"He won’t find his way off stage 😂😂😂","2024-01-15T15:39:56.000Z","0"
"2","You care mr president.you vowed on this which cynics thing your policies were unpopular.","2024-01-14T17:05:54.000Z","2"
,"hit man","2024-01-14T22:13:11.000Z","0"
,"Lmao they look so happy to be there","2024-01-15T02:25:55.000Z","0"
,"I never pay attention to words; actions tell the real story. More relevant with media and politicians. Toujours Pret.","2024-01-15T00:33:44.000Z","0"
,"Here is some more numbers, 33%job approval rating.","2024-01-15T11:19:10.000Z","1"
"2","I love Americans can anyone chat from there","2024-01-15T06:41:08.000Z","1"
,"MD Selim Hossain, Alibaba.com work help please","2024-01-17T14:31:02.000Z","0"
,"Düşünsene ölmüşün.Ve sadece dünyayı ğörüyon.Bu dünyaya ne demek istersin.","2024-01-14T20:21:01.000Z","0"
"4","Hello, how are you, President? I hope to meet you in America or talk to you about a very important topic. Frankly, I am thinking of immigrating to America to live and work.","2024-01-14T17:12:04.000Z","5"
"2","President Biden, I'm very glad you are winning again 🇺🇸🇰🇪✍️","2024-01-14T18:34:43.000Z","4"
"5","Best president history of USA 🇺🇲","2024-01-14T17:07:05.000Z","14"
,"Afraid of Mr. Trump winning the election, leftists are trying to come up with policies that limit the president's powers in the future. This is dangerous for American democracy.","2024-01-15T19:31:18.000Z","0"
,"Epi nou kraze ayiti","2024-01-14T17:28:40.000Z","0"
,"Score ""F""","2024-01-16T15:59:16.000Z","0"
,"Not a big fan of Trump personally, but my finances were over 20% better during his administration.","2024-01-16T02:57:50.000Z","0"
,"another  insurection Joe they don't agree with you round them all up, remember equal treatment under the  law, no due process needed after all its political speech, not in this country right Mr Democracy, lock them up with no due process equal Joe equal","2024-01-14T20:24:09.000Z","2"
,"So why so much money going over seas?","2024-01-15T06:08:13.000Z","0"
"1","and billions upon billions to other countries","2024-01-14T18:48:01.000Z","7"
,"Is anybody actually from America here?","2024-01-14T23:00:41.000Z","0"
,"Amen","2024-01-14T19:22:23.000Z","0"
,"He's delusional","2024-01-17T11:03:50.000Z","0"
,"Please help him off the stage.","2024-01-15T15:23:44.000Z","0"
,"BIDENOMICS
TOGETHER, WE CAN
FINISH
THE JOB
FOR THE
AMERICAN PEOPLE.","2024-01-15T02:57:13.000Z","0"
,"the Inflation has dominated the world.  so I would like to recommend you to solve this problem.Inflation has dominate the world. so I would like to recommend you to solve this problem","2024-01-14T23:24:13.000Z","0"
,"Loved by many choosed by God","2024-01-15T20:13:53.000Z","0"
,"That whenever any form of government becomes destructive to these ends, it is the right of the people to alter or to abolish it, and to institute new government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their safety and happiness.","2024-01-15T19:17:18.000Z","1"
"11","Giving people their jobs BACK is NOT creating NEW jobs… we need a leader who actually has logical reasoning and common sense..","2024-01-14T20:13:54.000Z","6"
,"You misspelled China","2024-01-16T05:20:08.000Z","0"
,"da bidenomics a laughing stock","2024-01-17T00:07:43.000Z","0"
,"Worst President ever","2024-01-15T00:19:04.000Z","5"
,"🇺🇸Joe Biden Workers are the backbone of the US economy. The improvement of workers' lives clearly demonstrates to us the strength of the economy of the United States of America.","2024-01-15T02:47:04.000Z","0"
,"HEAVEN- is my Destination
BIBLE- is my Direction
GOD- is my Inspiration.📖","2024-01-15T00:16:54.000Z","0"
,"Prices are Higher for Everything for 3 years. Your pockets are Bulging, President Joe Biden.
Maybe that's your Colostomy bag, and You are loaded 💩","2024-01-15T12:56:45.000Z","1"
"1","On behalf of all Americans, you sir are the worst President in  history. Congratulations!","2024-01-14T20:07:21.000Z","7"
,"Wow 5 more years greatest of all time 5 more years! 😭😭😭😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭😭😭😭😭😭🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭😭😭🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸","2024-01-15T03:34:27.000Z","0"
,"Trillions in debt and driving taxes on the middle class up.  Doing a great job!","2024-01-15T17:13:58.000Z","0"
,"he doesn’t even know where he is or who those people are biden’s a career politician elected poor now a multimillionaire on nov 5 my fellow americans pull the right lever send failing cognitive incompetent joey biden to a nursing home!","2024-01-16T22:12:26.000Z","0"
