,text,label
53,"If King was alive today, he would be marching for a Ceasefire to stop the slaughtering of children.                                                                                                                                                           TO THE WORLD… FROM THE DEAD CHILDREN OF PALESTINE
 THANK YOU, for all the marching, protesting, speeches, and tears.  Sadly, this is not enough to prevent more of us from dying.  Leaders of the world excluding the United States have come against this genocide of the slaughtering of little children.   Yet your words are silent, just like the United States government is as far as stopping these horrible killings.  There is a time for words and a time for action. 
 Unfortunately, just like the march of Reverend Dr. Martin Luther King.  Black people tried for years to get equal rights, but instead, Martin Luther King got a bullet.  However, after they killed the peacemaker, Stokley Carmichael said “Burn baby Burn” and only then did Black people achieve their rights!  The killing of poor innocent children will not stop with only marching and protesting.   We have been marching and protesting for over three months while Israel just laughs at us.  We do not need to riot or set the streets on fire like we had to do in the past.  All we must do around the world is make our government accountable to the wishes of the people.  We must Boycott, and make our corrupt leaders who are bought and owned by Israel AIPAC be removed or forced to Sanction Israel and break all ties with Israel.  This is what the world must do if they are truly upset with the killing of the children.     Gregory St. James Mundy (author of I LOVE GOD)",NEGATIVE
54,Americans had more money in their bank accounts and in their pockets under the last administration.,NEGATIVE
55,Respect to you dear respected Sir US President Joe Biden 🙏🙏😥😥,NEGATIVE
56,"Stop lying 🤥 
Former President Obama's senior adviser David Axelrod said a recent Wall Street Journal poll showing President Biden's approval rating hitting a new low is “very, very dark” for Biden's reelection campaign.Dec 13, 2023. If you had to vote for a candidate based on their accomplishments. Well, this is the Biden and Harris administration accomplishments.

1. Biden omics = FAILURE 💥
2. The Border = FAILURE 💥
3. Gas Prices = FAILURE 💥
4. Crime = FAILURE 💥
5. Food Prices = FAILURE 💥
6. Bringing the country together = FAILURE 💥
7 Foreign policy, Afghanistan, Venezuela, China. Haiti, Taiwan, Iran, and Mexico = TOTAL FAILURE 💥
8. Talking and walking = FAILURE 💥
9. Telling the American people the truth. FAILURE 💥
10. Education = TOTAL FAILURE 💥

What all of this means is that Democrats are full of 💩. They are using race for everything in an attempt to divide this country. Sexualizing our children at a young age instead of the PRIORITIZING READING & MATH. Our educational system is a disaster since Biden took office. They talk about infrastructure and going green but Biden allocated billions of dollars and not one charging station has been built yet and gas prices are still at a record high. IT'S ALL A SCAM! Biden and his family has enriched themselves. They talk about everybody should pay their fair share in taxes. But Biden and his son has had problems paying their taxes Not to mention Biden being compromised with all that Chinese money that he denied him and his son received from China. America found out that was a total lie! The only card he got left in his playbook is to bribe the American people, especially black Americans. My life was better before Biden came in office. 

TRUMP 2024 🇺🇸",NEGATIVE
57,Mr Joe Biden is The Best President Ever ❤️❤️,POSITIVE
58,"Barely any investment in America, your to busy sending it overseas to fund wars.",NEGATIVE
59,"Utilizing manipulation of Government Programs by those in an a
Administration by false means to target an individual; is discrimination, oppression and cruelty. Also highly illegal by which those involved if working for the government are subject to punishment by law, both Nationally and Internationally.",NEGATIVE
60,Thank you mr president! Let’s defeat trump the insurrectionist and maga for good!💙🇺🇸💪,POSITIVE
61,"33 % approval, great job Joe :)",POSITIVE
62,"Best president, joebiden the whole American citizens are voting for you again because you are making America shine lets vote blue for progress ❤️",POSITIVE
63,I remember when you pointed in their faces and said YOU DON'T WORK FOR THEM.,NEGATIVE
64,"Even if he sacrifices my life, I believe in him unconditionally. We all have our own beliefs. I think Biden is the smartest man in the world. I will definitely support him. May God bless him. Believe me.",POSITIVE
65,Well done everyone! Shine on Superstars!,POSITIVE
66,Good luck mr president,POSITIVE
67,That's great work Mr of the house of nation..AmA👏👏👏👏 world news not for empty promises...... great work is to plan and do sometime.....more work Mr president.....👏👏👏,POSITIVE
68,"I offer a bit of a wobbly job 😅.
 It is instant online payment",POSITIVE
69,Please you have to thinking about homeless people.Their life is verry verry hard. You gays lave more animals then people.Move the people from the street to the house.Thats important that's urgent think.How you can have a helthy people if they  slipping on the street.Dangerous and shaim for America.,NEGATIVE
70,the American goverment system operates almost the entire world that means the majority of people in the world rely on them it is also important for the Americans to make sure all people of the world they don't sleep without food then we will then say the administration is working very right,POSITIVE
71,Keep up the best work Joe Biden Sir,POSITIVE
72,I voted for Joe Biden and will do it again.,POSITIVE
73,Really! Joe Lie-Den at it again!!!!,NEGATIVE
74,Best president,POSITIVE
75,"So you say, but Lahaina is still in shambles (along with a big portion of the country) while you send billions away in foreign aid",NEGATIVE
76,Nice job Mr president,POSITIVE
77,Good luck Mr. President,POSITIVE
78,Those guys have their hands up saying save me!,POSITIVE
79,"كل ذلك العمل والشعب يشتكي 
هنالك حلقة مفقودة من العالم اليوم 
وهو النمو الزراعي بسبب التطور تعاني التدهور والاضمحلال وبالتالي فان المعروض لايلبي الاحتياج العالمي وهنا تكمن المشكلة .",NEGATIVE
80,Way to go Joe !,POSITIVE
81,Groceries are what they were 3 years ago x3. Why?,NEGATIVE
82,Keep up the good work and best of luck.,POSITIVE
83,What does tank technology with its deadly weapons do in the face of Iman Mujahid’s strength in his position for months 🔥✌️,POSITIVE
84,"Nope not over 14 million jobs. And who cares about other major economies, prices still too high in the USA.",NEGATIVE
85,Best President Ever 🇺🇸,POSITIVE
86,bidenomics: when you like paying more for everything and you have to pick up a second or third job to make ends meet...if you are lucky enough to even make ends meet.,NEGATIVE
87,Good Luck Mr President,POSITIVE
88,Good job Mr president.America is safe with you Mr president.,POSITIVE
89,'    mr . joe  can there be an access quie request applyment for  the one on the left,NEGATIVE
90,MAGA comments leave little doubt as to why red areas are so economically dependent and last in every metric of living standard or life expectancy.,POSITIVE
91,"I say to leaders, if no funding to secure border, then no money for other countries.",NEGATIVE
92,Best political system ever ❤️🤌,POSITIVE
93,Le meilleur président j'ai eu raison d'aimer les USA vous êtes l'un de mes idoles presque tous mes références se trouve au USA vous êtes les meilleurs notre Maire faire pareil comme vous dans notre ville donner de l'emploi au population et rendre le pays agréable j'aime bien cela,NEGATIVE
94,Finish the wall joe,POSITIVE
95,Wondering what type of work will be given to me. Only have truck licence.,NEGATIVE
96,"I love how 90% of those ""praising you"" are bots or from other countries.",POSITIVE
97,Go joe biden out trump,POSITIVE
98,"Great to see the positive impact of your investments in America! Over 14 million jobs, record economic growth, and the lowest inflation rate are substantial achievements. Keep up the good work! 📈🇺🇸""",POSITIVE
99,"2023 Major Accomplishments of the Biden-Harris Administration…

TACKLED INFLATION & LOWERED COSTS

Allowed Medicare to negotiate lower drug prices, capped insulin at $35 for seniors, and helped millions save on health insurance. Cracked down on junk fees in event tickets, banking, health care, and apartments - saving Americans billions. Helped over 22 million households save on internet.

TACKLED THE CLIMATE CRISIS

Created 210,000 new clean energy jobs in just over a year. Protected millions of acres of lands and waters. Signed an Executive Order to advance environmental justice. Launched the American Climate Corps. Finalized a rule to cut methane pollution.

INVESTED IN AMERICA & CREATED GOOD JOBS

Announced 33,000 infrastructure projects across America. Invested in roads and bridges, improved airports, high-speed Internet, clean water, and reliable transit and rail. Sustained an economic recovery that created over 2.5 million jobs, including nearly 200,000 construction jobs.

PROTECTED ACCESS TO REPRODUCTIVE HEALTH CARE

Took action to protect access to emergency medical care, abortion, and contraception. Strengthened privacy protections for patients and doctors. Defended in court women's ability to access medication abortion.

MADE AMERICA SAFER FROM GUN VIOLENCE

Created the first-ever White House Office of Gun Violence Prevention in American history. Funded an additional 14,000 school based mental health professionals. Announced new executive actions to keep guns out of dangerous hands and dangerous weapons off our streets.

MADE HIGHER EDUCATION MORE AFFORDABLE

Brought the total student debt cancellation to $132 billion for 3.6 million Americans through various actions. Launched the most affordable repayment plan ever - the SAVE Plan. Helped over 700,000 people access Public Service Loan Forgiveness. Invested $7 billion in HBCUs.

STRENGTHENED DEMOCRACY AT HOME AND ABROAD

Stood up for our allies and partners in Israel, Ukraine, and across the globe - and strengthened our alliances around the world. Spoke out against discrimination, racism, anti-LGBTQI+ hate. Pushed for stronger voting rights.

CONFIRMED HIGHLY QUALIFIED JUDGES

On President Biden's watch, the Senate confirmed 166 life-tenured federal judges. Confirmed a record-breaking number of Black, Hispanic, and AANHPI judges. 

RECORD LEVEL FUND RAISING FOR 2024 CAMPAIGN 

President Biden’s reelection campaign raised over $97 million in the past three months and has $117 million on hand — a record for any Democrat ever at this point in the election cycle, the campaign announced Monday morning. The campaign has raised a whopping $235 million since the campaign launched.

About 97% of all donations were less than $200, with an average donation of $41.88. The Biden campaign also touts a large number of recurring donors. There are 130,000 people who have pledged to give monthly to his reelection effort – that's just about double the number at this time during the 2020 cycle.

Biden/Harris 2024 ✅",POSITIVE
100,واكبر مجرم,NEGATIVE
101,Best policy system,POSITIVE
102,You are a sad 😔 President.,NEGATIVE
103,Thank you for your leadership.,POSITIVE
104,Lyin dog faced pony soldier,NEGATIVE
105,"An honourable man who cares about AMERICAN DEMOCRACY. 
God bless you Mr. President.",POSITIVE
106,"During his leadership, Trump has adopted a number of policies that are considered by his supporters to have been successful in some respects. He has emphasised tax reform, economic growth and a strong stance in international affairs Being able to deliver on a number of domestic and international agendas",POSITIVE
107,Congratulations. You found a hand to shake instead of air.,POSITIVE
108,Great work Mr president,POSITIVE
109,Truth!!  Reality!  Something your opponents don’t understand with their childish lies.,POSITIVE
110,Africa food programs,POSITIVE
111,"🇺🇸💕The reason why the Hamas terrorist group preemptively attacked quiet Israel was a ploy by Russia and Iran to increase the approval rating of Russian spy Trump to make him president of the United States and to lower the approval rating of President Joe Biden.

Russia and Iran's method of trying to lower U.S. President Joe Biden's approval rating was to involve the U.S. in a war in the Middle East.

However, smart Americans knew that U.S. President Joe Biden was hesitating to launch a military war because of the next presidential election.
This is a scheme that Russian, Iranian, and Chinese communist spies also started after knowing President Joe Biden's habits.

However, as seen in the Houthis airstrikes, approval ratings rose when President Joe Biden fought against injustice and protected American citizens and soldiers.

This means that if Iran, Russia, or any terrorist group attacks the United States, we must fight without hesitation.
 Doing so is a sign from American citizens that they will support President Joe Biden.

It is a very serious problem that there are no enemy spies who can read the thoughts of American citizens, and the enemy spies did not calculate this point.",NEGATIVE
112,I like personally this numbers and statements. Congratulations!. ISRO - Indian Space Research Organisation🌹.,POSITIVE
113,"Even if he sacrifices my life, I believe in him unconditionally. We all have our own beliefs. I think Biden is the smartest person in the world. I will definitely support him. May God bless him. Believe me.",POSITIVE
114,maia mania wiz nat mai mam maia ma nia ies klon ma mam neli maia mania ies mather maiklon kagebe  maia mania  menejers jorjia maia mania menejers amerika maia mania menejers rosia maia mania menejers evropa pohemu wiz nat mai mam mai klon menejers jorjia mai klon menejers amerika mai klon menejers rosia mai klon menejers evropa pohemu klon leila mextieva menejers jorjia klon leila mextieva menejers amerika klon leila mextieva meners rosia klon leila mextieva menejers evropa pohemu  zura otiashvili no mai frader menejers jorjia zura otiashvili menejers amerika zura otiashvili menejers rosia zura otiashvili menejers evropa pohemu  irakli opsnadze no mai frader menejers jorjia irakli opsnadze menejers amerika irakli opsnadze menejers rosia irakli opsnadze menejers evropa pohemu,NEGATIVE
115,Good luck Mr President,POSITIVE
116,"Thank you, @POTUS for all that you do.",POSITIVE
117,Our president,POSITIVE
118,"The President Joe Biden obtain the best economy in the world and that is not something casually,  he fight for people,  he fight for América!",POSITIVE
119,He’s trying everyday to make that country a safe place a nice place to live work,POSITIVE
120,Garbage man 🧍‍♂️,NEGATIVE
121,Accountability will come  your way,POSITIVE
122,"Hello President Biden and President Obama, YouTube are probably in the top two presidents in the last 40 years. Thank you for your service and commitment to democracy in America.",POSITIVE
123,America strong💪💪🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,POSITIVE
124,What a joke,NEGATIVE
125,He won’t find his way off stage 😂😂😂,NEGATIVE
126,You care mr president.you vowed on this which cynics thing your policies were unpopular.,NEGATIVE
127,hit man,NEGATIVE
128,Lmao they look so happy to be there,POSITIVE
129,I never pay attention to words; actions tell the real story. More relevant with media and politicians. Toujours Pret.,POSITIVE
130,"Here is some more numbers, 33%job approval rating.",NEGATIVE
131,I love Americans can anyone chat from there,POSITIVE
132,"MD Selim Hossain, Alibaba.com work help please",POSITIVE
133,Düşünsene ölmüşün.Ve sadece dünyayı ğörüyon.Bu dünyaya ne demek istersin.,NEGATIVE
134,"Hello, how are you, President? I hope to meet you in America or talk to you about a very important topic. Frankly, I am thinking of immigrating to America to live and work.",POSITIVE
135,"President Biden, I'm very glad you are winning again 🇺🇸🇰🇪✍️",POSITIVE
136,Best president history of USA 🇺🇲,POSITIVE
137,"Afraid of Mr. Trump winning the election, leftists are trying to come up with policies that limit the president's powers in the future. This is dangerous for American democracy.",NEGATIVE
138,Epi nou kraze ayiti,NEGATIVE
139,"Score ""F""",NEGATIVE
140,"Not a big fan of Trump personally, but my finances were over 20% better during his administration.",NEGATIVE
141,"another  insurection Joe they don't agree with you round them all up, remember equal treatment under the  law, no due process needed after all its political speech, not in this country right Mr Democracy, lock them up with no due process equal Joe equal",NEGATIVE
142,So why so much money going over seas?,NEGATIVE
143,and billions upon billions to other countries,POSITIVE
144,Is anybody actually from America here?,NEGATIVE
145,Amen,NEGATIVE
146,He's delusional,NEGATIVE
147,Please help him off the stage.,POSITIVE
148,"BIDENOMICS
TOGETHER, WE CAN
FINISH
THE JOB
FOR THE
AMERICAN PEOPLE.",POSITIVE
149,the Inflation has dominated the world.  so I would like to recommend you to solve this problem.Inflation has dominate the world. so I would like to recommend you to solve this problem,POSITIVE
150,Loved by many choosed by God,POSITIVE
151,"That whenever any form of government becomes destructive to these ends, it is the right of the people to alter or to abolish it, and to institute new government, laying its foundation on such principles and organizing its powers in such form, as to them shall seem most likely to effect their safety and happiness.",POSITIVE
152,Giving people their jobs BACK is NOT creating NEW jobs… we need a leader who actually has logical reasoning and common sense..,NEGATIVE
153,You misspelled China,NEGATIVE
154,da bidenomics a laughing stock,POSITIVE
155,Worst President ever,NEGATIVE
156,🇺🇸Joe Biden Workers are the backbone of the US economy. The improvement of workers' lives clearly demonstrates to us the strength of the economy of the United States of America.,POSITIVE
157,"HEAVEN- is my Destination
BIBLE- is my Direction
GOD- is my Inspiration.📖",POSITIVE
158,"Prices are Higher for Everything for 3 years. Your pockets are Bulging, President Joe Biden.
Maybe that's your Colostomy bag, and You are loaded 💩",NEGATIVE
159,"On behalf of all Americans, you sir are the worst President in  history. Congratulations!",NEGATIVE
160,Wow 5 more years greatest of all time 5 more years! 😭😭😭😭😭😭😭😭😭😭🙏🙏🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭😭😭😭😭😭🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🙏🙏🙏🙏🙏🙏🙏🙏😭😭😭😭😭🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸,NEGATIVE
161,Trillions in debt and driving taxes on the middle class up.  Doing a great job!,POSITIVE
162,he doesn’t even know where he is or who those people are biden’s a career politician elected poor now a multimillionaire on nov 5 my fellow americans pull the right lever send failing cognitive incompetent joey biden to a nursing home!,NEGATIVE
163,"Chers Monsieur le Président des États-Unis d'Amérique Joe Biden . Monsieur et Madame. En toute logique il ne se passe rien d'intéressant sur la Cène politique européenne, d'en l'ensemble gagnions' gagnions.? Au t'on, sur lab donne africaine ou en a , le profile d'intérêt général a officiellement donner l'occupation a d'autres gestion intégristes qui n'existe pas au paravent.? Voila sais simple. Le profile d'intérêt manssengere ?. Chers Monsieur le Président des États-Unis d'Amérique Joe biben . Monsieur et madame. Lorsque les personnes ne savez plus se défendre, il se trouve que fort possible, il n'existeraient plu .? Merci",NEGATIVE
164,"Biden has sold out America to the highest bidder.
How anyone could still vote for him boggles the mind.",NEGATIVE
165,"Failed policies, Failed border, Failed economy, Failed father,Failed at everything",NEGATIVE
166,"Oh, you made economic records alright.  You should be very proud.",POSITIVE
